country,country_code,year,sector_level,sector_code,sector,gas,unit,emissions_value
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.608146
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.35263
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.008016
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.045964
Austria,AUT,2012,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.321465
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,281.78069
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,67661.29564
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.650013
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.29001
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.009129
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.044675
Austria,AUT,2013,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.314725
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,276.02611
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,63974.84121
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.667842
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.70874
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.009887
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.048085
Austria,AUT,2014,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.323644
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,273.01258
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,66163.66448
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.696366
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,12.96331
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.012598
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.044958
Austria,AUT,2015,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.319082
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,270.56843
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,67012.98615
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.697669
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.44605
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.005748
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.04571
Austria,AUT,2016,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.404949
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,269.23626
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,69422.41324
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.733845
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.37806
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.011238
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.039827
Austria,AUT,2017,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.412291
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,261.65826
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,66482.75601
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.845326
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.4229
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.015456
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.029501
Austria,AUT,2018,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.398236
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,257.07119
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,67792.58869
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.748044
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.51881
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.012735
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.034821
Austria,AUT,2019,total,Sectors/Totals_excl,Total (excl. LULUCF),SF6,Mt CO2 eq.,0.44991
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),CH4,Gg,253.86352
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),CO2,Gg,61995.89414
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),HFCs,Mt CO2 eq.,1.6883
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),N2O,Gg,13.23581
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),NF3,Mt CO2 eq.,0.014097
Austria,AUT,2020,total,Sectors/Totals_excl,Total (excl. LULUCF),PFCs,Mt CO2 eq.,0.027181
